#length inter_chain_contacts
57619 145280
57185 145087
56359 143029
59744 151787
56697 142050
54171 136093
59686 151164
61679 155767
51311 128603
53755 135721
61072 151745
61289 150894
51369 127918
56808 141163
52038 128829
52705 131343
56889 144772
51675 131815
56230 140399
53663 137403
61363 152279
55501 141758
57575 144919
54775 139161
60283 150124
53907 135520
54245 132753
53940 134281
53747 132592
59010 148969
51553 131878
55405 139060
61237 152563
51606 129405
59205 151905
57899 145133
53235 135274
56442 141468
62002 154673
58967 147061
54239 134877
60813 151913
56646 141116
51127 129026
54654 138863
50937 124635
53672 136850
54895 139604
55494 138687
52620 133716
59973 145206
53043 134171
50980 129531
56322 140884
52656 132097
52588 132840
60243 147439
53290 133406
60511 154394
60063 150564
54546 136247
55925 138358
60675 152385
61221 147693
56852 140544
54763 137205
60881 154211
51329 127858
56673 141544
53480 135800
57075 137401
51413 126221
54908 138320
54951 138183
54032 136044
61141 155217
59183 151148
55400 138721
58387 149550
51315 131237
58305 147647
53147 134055
59419 146453
58895 149505
55047 139717
60863 148997
56489 140280
52555 131769
56607 142861
53425 134816
54699 138996
55579 140101
53051 133984
53311 133827
59956 150644
