#n_linear_chains rejection_rate stderr
1 9.7e-07 1.02029e-07
2 1.98e-06 1.94833e-07
5 5.34e-06 3.52477e-07
10 1.011e-05 4.69989e-07
20 2.225e-05 9.24905e-07
