#n_data 100000
#phi_bin_left phi_bin_right probability stderr
0.0 0.1 4.88e-05 2.08231e-06
0.1 0.2 0.0001476 4.05759e-06
0.2 0.3 0.0002628 5.74073e-06
0.3 0.4 0.0004141 5.21047e-06
0.4 0.5 0.0005662 6.89464e-06
0.5 0.6 0.0007987 7.77309e-06
0.6 0.7 0.0010999 6.85777e-06
0.7 0.8 0.0016902 1.37883e-05
0.80 0.81 0.00203 4.28486e-05
0.81 0.82 0.002356 5.07385e-05
0.82 0.83 0.002423 1.97003e-05
0.83 0.84 0.002657 2.79303e-05
0.84 0.85 0.002981 4.71264e-05
0.85 0.86 0.003333 6.55141e-05
0.86 0.87 0.003625 4.82753e-05
0.87 0.88 0.00424 6.35295e-05
0.88 0.89 0.005133 4.48118e-05
0.89 0.9 0.007156 7.17105e-05
0.900 0.901 0.00944 0.000390948
0.901 0.902 0.01055 0.000343293
0.902 0.903 0.01134 0.000286775
0.903 0.904 0.01365 0.000206519
0.904 0.905 0.01535 0.000359235
0.905 0.906 0.01729 0.000290672
0.906 0.907 0.01913 0.000324669
0.907 0.908 0.01816 0.000453255
0.908 0.909 0.01311 0.000311593
0.909 0.91 0.0071 0.000218632
0.910 0.911 0.00227 0.000114061
0.911 0.912 0.00043 4.90918e-05
0.912 0.913 1e-05 9.48683e-06
