0 0.172765 0.000793412
9050 0.14439 0.00032778
18100 0.121805 0.000723065
27150 0.099635 0.000566747
36200 0.083055 0.000618282
45250 0.06994 0.000474068
54300 0.05788 0.000543056
63350 0.046425 0.000236352
72400 0.0379 0.000355879
81450 0.03127 0.00051644
90500 0.025705 0.000188739
99550 0.021035 0.000213313
108600 0.0173 0.0003255
117650 0.014135 0.000166741
126700 0.01152 0.000222733
135750 0.009085 0.000117484
144800 0.00741 0.000256398
153850 0.00574 0.000160748
162900 0.00471 0.000119958
171950 0.004065 0.000129045
181000 0.00314 0.000140499
190050 0.002215 7.21284e-05
199100 0.00204 5.60357e-05
208150 0.001545 7.76048e-05
217200 0.00124 7.67463e-05
226250 0.00101 7.20417e-05
235300 0.00074 3.79473e-05
244350 0.000465 3.87621e-05
253400 0.000405 2.68794e-05
262450 0.00036 2.81069e-05
271500 0.000245 4.55247e-05
280550 0.000215 3.16623e-05
289600 0.00013 1.26491e-05
298650 0.000105 2.3927e-05
307700 9.5e-05 2.59326e-05
316750 6.5e-05 1.42302e-05
325800 5e-05 1.58114e-05
334850 3.5e-05 1.01242e-05
343900 2.5e-05 1.27475e-05
352950 1e-05 6.32456e-06
362000 1.5e-05 7.24569e-06
371050 3e-05 1.04881e-05
380100 1e-05 6.32456e-06
389150 1.5e-05 1.01242e-05
407250 1e-05 9.48683e-06
434400 5e-06 4.74342e-06
443450 5e-06 4.74342e-06
452500 5e-06 4.74342e-06
