#sequence_separation reesq stderr
10 14.798 0.0143919
20 30.7731 0.04602
40 63.3001 0.153989
80 128.867 0.471666
160 261.032 1.33821
320 529.488 3.67679
640 1074.95 10.9841
1280 2178.59 32.8355
2560 4404.19 100.398
5120 9012.6 246.34
10240 18251.4 633.179
