#n_linear_chains rejection_rate stderr
1 2.07e-05 2.20477e-06
2 5.25e-05 3.24731e-06
5 0.0001389 5.19124e-06
10 0.0002857 6.74989e-06
20 0.0005858 1.18876e-05
