#n_data 100000
#phi_bin_left phi_bin_right probability stderr
0.0 0.1 0.0005549 7.98179e-06
0.1 0.2 0.0006132 6.6465e-06
0.2 0.3 0.0006484 6.87488e-06
0.3 0.4 0.0007082 1.0235e-05
0.4 0.5 0.0007605 7.52496e-06
0.5 0.6 0.0008557 9.40856e-06
0.6 0.7 0.001033 9.81224e-06
0.7 0.8 0.0013152 8.76105e-06
0.80 0.81 0.001634 3.81366e-05
0.81 0.82 0.001702 5.01757e-05
0.82 0.83 0.00179 3.79473e-05
0.83 0.84 0.001866 5.80034e-05
0.84 0.85 0.002012 2.08231e-05
0.85 0.86 0.00227 2.71293e-05
0.86 0.87 0.00237 4.50999e-05
0.87 0.88 0.002622 3.96182e-05
0.88 0.89 0.003116 5.20807e-05
0.89 0.9 0.004068 6.59667e-05
0.900 0.901 0.00507 0.000196494
0.901 0.902 0.0051 0.000169706
0.902 0.903 0.00578 0.000200898
0.903 0.904 0.00611 0.000350271
0.904 0.905 0.00608 0.000223517
0.905 0.906 0.00646 0.000276478
0.906 0.907 0.00629 0.000269611
0.907 0.908 0.00709 0.00024998
0.908 0.909 0.00696 0.000255421
0.909 0.91 0.00747 0.000191859
0.910 0.911 0.00766 0.000242981
0.911 0.912 0.00739 0.000327246
0.912 0.913 0.00676 0.00024257
0.913 0.914 0.00668 0.000230998
0.914 0.915 0.00576 0.000174471
0.915 0.916 0.0047 0.00015748
0.916 0.917 0.00418 0.000168404
0.917 0.918 0.00349 0.00012919
0.918 0.919 0.0026 0.000171464
0.919 0.92 0.00163 6.33246e-05
0.920 0.921 0.00131 0.000106254
0.921 0.922 0.00085 0.000114237
0.922 0.923 0.00052 6.75278e-05
0.923 0.924 0.00047 7.88036e-05
0.924 0.925 9e-05 2.98329e-05
0.925 0.926 6e-05 1.54919e-05
0.926 0.927 3e-05 2.02485e-05
