#system_size rejection_rate stderr
1000 0.0026789 1.47976e-05
8000 0.0003378 5.65473e-06
125000 2.07e-05 2.20477e-06
1000000 3.08e-06 1.88043e-07
3375000 9.7e-07 1.02029e-07
