#n_data 100000
#phi_bin_left phi_bin_right probability stderr
0.0 0.1 4.31e-05 1.79694e-06
0.1 0.2 0.0001451 5.25443e-06
0.2 0.3 0.0002697 6.92105e-06
0.3 0.4 0.0004005 3.73162e-06
0.4 0.5 0.0005557 8.95215e-06
0.5 0.6 0.0007509 8.60169e-06
0.6 0.7 0.0010595 1.1142e-05
0.7 0.8 0.0015151 9.75956e-06
0.80 0.81 0.001985 2.97741e-05
0.81 0.82 0.002169 5.06448e-05
0.82 0.83 0.00216 4.0025e-05
0.83 0.84 0.002445 2.63913e-05
0.84 0.85 0.002562 5.97126e-05
0.85 0.86 0.002724 4.94004e-05
0.86 0.87 0.003102 4.71975e-05
0.87 0.88 0.003229 5.97403e-05
0.88 0.89 0.003903 5.60187e-05
0.89 0.9 0.004586 4.66733e-05
0.900 0.901 0.00527 0.00028742
0.901 0.902 0.00572 0.000211092
0.902 0.903 0.00546 0.000192458
0.903 0.904 0.0058 0.000279285
0.904 0.905 0.00552 0.000222621
0.905 0.906 0.00614 0.000247063
0.906 0.907 0.00607 0.00018333
0.907 0.908 0.00635 0.000183439
0.908 0.909 0.00643 0.000308561
0.909 0.91 0.00632 0.000267133
0.910 0.911 0.0069 0.000293258
0.911 0.912 0.00691 0.000226473
0.912 0.913 0.0072 0.000288097
0.913 0.914 0.00723 0.000255754
0.914 0.915 0.00656 0.000297389
0.915 0.916 0.00706 0.000167451
0.916 0.917 0.00671 0.00027109
0.917 0.918 0.00713 0.000214499
0.918 0.919 0.00692 0.000238244
0.919 0.92 0.00685 0.000343293
0.920 0.921 0.00716 0.00028256
0.921 0.922 0.00716 0.000354175
0.922 0.923 0.00688 0.00025838
0.923 0.924 0.00673 0.000239604
0.924 0.925 0.00675 0.000226826
0.925 0.926 0.00642 0.000231862
0.926 0.927 0.00643 0.000250619
0.927 0.928 0.00592 0.000217164
0.928 0.929 0.00543 0.000226738
0.929 0.93 0.00522 0.000303579
0.930 0.931 0.00543 0.000217279
0.931 0.932 0.005 0.000206882
0.932 0.933 0.00429 0.00013225
0.933 0.934 0.0041 0.000142127
0.934 0.935 0.00406 0.000140855
0.935 0.936 0.00339 0.000237676
0.936 0.937 0.0028 0.00011225
0.937 0.938 0.00266 0.000106958
0.938 0.939 0.00227 0.0001114
0.939 0.94 0.00196 0.000143666
0.940 0.941 0.00162 0.000116447
0.941 0.942 0.00143 9.4921e-05
0.942 0.943 0.0012 8.60233e-05
0.943 0.944 0.00106 0.00010315
0.944 0.945 0.00074 6.19677e-05
0.945 0.946 0.00068 7.84857e-05
0.946 0.947 0.00066 8.02496e-05
0.947 0.948 0.00039 8.42021e-05
0.948 0.949 0.00027 4.70106e-05
0.949 0.95 0.00024 4.73286e-05
0.950 0.951 0.00016 3.2249e-05
0.951 0.952 0.0001 2.82843e-05
0.952 0.953 0.00012 3.68782e-05
0.953 0.954 4e-05 2.09762e-05
0.954 0.955 2e-05 1.26491e-05
0.955 0.956 1e-05 9.48683e-06
0.956 0.957 3e-05 1.44914e-05
0.957 0.958 1e-05 9.48683e-06
