#sequence_separation reesq stderr
10 14.7208 0.034687
20 30.4507 0.114041
40 62.4475 0.356284
80 126.716 1.07936
160 254.027 2.96205
320 504.742 8.06604
640 1010.78 24.527
1280 2047.98 70.1954
2560 4272.39 197.111
