#sequence_separation contact_probability stderr
3 0.160626 0.000435957
5 0.0798602 0.000348976
7 0.0483364 0.000314502
9 0.0326434 0.000266589
11 0.0239286 0.000227536
13 0.0186068 0.000202482
15 0.0148209 0.000216602
17 0.0125081 0.000185776
19 0.0104263 0.000169009
21 0.00912214 0.00017076
23 0.00767042 0.000146238
25 0.00675786 0.000121911
27 0.00616472 0.000129973
29 0.00525962 0.000124128
31 0.00486542 0.000116499
33 0.00421719 0.000106452
35 0.00384454 0.000104936
37 0.00371496 0.000103062
39 0.00349438 0.000101795
41 0.0033394 0.000100034
43 0.00314087 9.91714e-05
45 0.00271917 8.80144e-05
47 0.00251787 7.5732e-05
49 0.00243362 8.24011e-05
51 0.00219524 7.3595e-05
53 0.00207538 6.15537e-05
55 0.00198536 6.91677e-05
57 0.00177633 6.49564e-05
59 0.00175367 7.27052e-05
61 0.00166867 7.14131e-05
63 0.00177531 7.79736e-05
65 0.00161334 7.33415e-05
67 0.00148188 7.83797e-05
69 0.00146768 6.96262e-05
71 0.00137815 6.6958e-05
73 0.00128171 5.85548e-05
75 0.00118202 6.26452e-05
77 0.00116554 6.2157e-05
79 0.00122671 5.86676e-05
81 0.00109757 4.9172e-05
83 0.00107098 5.45113e-05
85 0.000961722 5.61049e-05
87 0.00104838 5.32762e-05
89 0.000944606 5.3359e-05
91 0.000971912 5.05042e-05
93 0.00092928 5.19471e-05
95 0.000873706 5.52068e-05
97 0.000901591 5.55175e-05
99 0.000804653 4.90732e-05
101 0.00081924 5.05151e-05
103 0.000766517 5.54009e-05
105 0.000854255 6.06803e-05
107 0.000738703 4.7355e-05
109 0.000795277 4.71827e-05
111 0.000698577 5.05176e-05
113 0.000599406 4.79459e-05
115 0.000618372 4.69569e-05
117 0.000608666 4.59831e-05
119 0.000553821 3.94997e-05
121 0.000583824 3.95146e-05
123 0.000579725 4.72406e-05
125 0.000553968 5.84404e-05
127 0.000558027 4.09833e-05
129 0.000549845 4.59803e-05
131 0.000552115 4.19406e-05
133 0.000508696 4.07153e-05
135 0.000504359 4.30657e-05
137 0.000488009 3.98285e-05
139 0.000518696 3.98322e-05
141 0.00052762 4.24535e-05
143 0.000523133 3.56662e-05
145 0.000505876 3.83299e-05
147 0.000500387 4.66113e-05
149 0.000482892 4.2027e-05
151 0.000454598 3.64958e-05
153 0.000452918 3.88481e-05
155 0.000469293 3.7988e-05
157 0.00040451 3.3647e-05
159 0.000473546 4.47624e-05
161 0.000386448 3.58365e-05
163 0.000375437 3.2572e-05
165 0.000415735 3.73386e-05
167 0.000362725 3.16703e-05
169 0.00033704 3.61912e-05
171 0.000374991 3.39402e-05
173 0.000371566 3.56002e-05
175 0.000374345 3.66507e-05
177 0.000315454 3.35272e-05
179 0.000332277 3.89046e-05
181 0.000319757 3.11298e-05
183 0.000316803 3.10418e-05
185 0.000326397 3.52603e-05
187 0.000333958 3.14456e-05
189 0.00032116 3.30597e-05
191 0.000301546 3.10424e-05
193 0.000284438 3.21402e-05
195 0.00026948 3.04786e-05
197 0.000296167 3.42497e-05
199 0.000297377 3.34541e-05
201 0.000293608 2.80674e-05
203 0.000262633 2.69189e-05
205 0.000253912 2.64585e-05
207 0.000287087 3.10559e-05
209 0.000259813 3.33994e-05
211 0.00023687 3.19047e-05
213 0.000287286 3.11318e-05
215 0.000255803 3.48904e-05
217 0.000249793 2.91434e-05
219 0.000230232 3.69371e-05
221 0.000268478 3.37835e-05
223 0.000276222 3.22095e-05
225 0.00026583 3.20803e-05
