#length n_overlapping_chains
20370 281
24462 417
23778 470
22390 374
20602 483
23397 390
20870 360
23345 379
20600 368
22623 401
20444 433
21803 403
20591 394
21152 412
22920 321
21940 395
21636 284
20697 408
23208 282
24725 372
22638 414
21281 268
20544 309
24372 376
24038 361
21684 367
23545 272
21514 420
22645 361
23381 276
22781 437
20824 368
23443 437
24044 374
21662 329
21280 429
23427 569
23837 472
20385 367
22637 360
23883 442
20461 209
21474 357
24035 418
21205 313
22008 439
20671 305
23887 311
24396 463
24265 340
22421 419
22162 274
21319 451
24417 564
22415 354
24395 324
23178 429
21027 415
23275 423
22190 312
22678 441
24633 342
23951 394
20975 399
21270 416
23294 383
24511 400
21186 431
22761 353
20714 293
22689 416
22782 365
24133 443
21950 365
22160 311
24125 459
23525 381
22302 273
24259 301
22560 362
22171 412
22357 383
22619 559
21690 441
24674 356
22953 443
24139 485
24555 311
21521 463
21346 389
21635 480
22390 285
22624 340
23411 375
22778 394
20390 302
20831 299
22685 307
20561 308
24292 420
