#sequence_separation reesq stderr
10 14.8354 0.0437299
20 30.8973 0.14805
40 63.2739 0.447806
80 128.65 1.36843
160 258.43 3.98015
320 518.781 11.6367
640 1045.16 33.1653
1280 2090.53 85.8125
