#sequence_separation contact_probability stderr
403 9.21627e-05 1.67584e-05
405 8.92222e-05 1.70446e-05
407 0.000119912 1.95481e-05
409 9.07725e-05 1.53319e-05
411 0.000102461 1.73676e-05
413 7.90532e-05 1.45494e-05
415 0.000103983 1.59468e-05
417 8.94083e-05 1.52204e-05
419 0.000102512 1.63668e-05
421 9.09131e-05 1.53396e-05
423 9.39314e-05 1.57394e-05
425 9.68828e-05 1.74182e-05
427 7.63532e-05 1.18417e-05
429 8.52737e-05 1.627e-05
431 7.79101e-05 1.43237e-05
433 6.62158e-05 1.27239e-05
435 0.00010436 1.71826e-05
437 8.67563e-05 1.41308e-05
439 9.71098e-05 1.6291e-05
441 0.000111827 2.07107e-05
443 8.68132e-05 1.47298e-05
445 7.94292e-05 1.28839e-05
447 9.72733e-05 1.46462e-05
449 8.10801e-05 1.42145e-05
451 0.000113452 2.03094e-05
453 9.28431e-05 1.63721e-05
455 9.87911e-05 1.57678e-05
457 0.00010176 1.88529e-05
459 6.78159e-05 1.40504e-05
461 8.25981e-05 1.32503e-05
463 6.64388e-05 1.34374e-05
465 8.71021e-05 2.19168e-05
467 7.82615e-05 2.07366e-05
469 8.41505e-05 1.55266e-05
471 7.23881e-05 1.4102e-05
473 7.38118e-05 1.52491e-05
475 9.16568e-05 1.56339e-05
477 9.30848e-05 1.75804e-05
479 9.90804e-05 1.69971e-05
481 9.17349e-05 1.6449e-05
483 8.43508e-05 1.54111e-05
485 8.14799e-05 1.50199e-05
487 7.85489e-05 1.56148e-05
489 7.85807e-05 1.33395e-05
491 6.51959e-05 1.36279e-05
493 6.82127e-05 1.44365e-05
495 7.56083e-05 1.57599e-05
497 7.85846e-05 1.56073e-05
499 0.000105328 1.72113e-05
501 8.45692e-05 1.37895e-05
503 8.46245e-05 1.39706e-05
505 7.57238e-05 1.33575e-05
507 7.27527e-05 1.50742e-05
509 9.80221e-05 1.66952e-05
511 7.28233e-05 1.3376e-05
513 9.80781e-05 1.51861e-05
515 5.9479e-05 1.15196e-05
517 7.43417e-05 1.56554e-05
519 8.18715e-05 1.49417e-05
521 9.83042e-05 1.58002e-05
523 0.00010126 1.45732e-05
525 8.03768e-05 1.38638e-05
527 8.49209e-05 1.44921e-05
529 6.55545e-05 1.33878e-05
531 8.04914e-05 1.58397e-05
533 7.1597e-05 1.40739e-05
535 6.70763e-05 1.43346e-05
537 6.55995e-05 1.30461e-05
539 6.41645e-05 1.40398e-05
541 5.22766e-05 1.27523e-05
543 5.37672e-05 1.14775e-05
545 7.47378e-05 1.54508e-05
547 5.82266e-05 1.11489e-05
549 5.52528e-05 1.14962e-05
551 6.27433e-05 1.33844e-05
553 6.43256e-05 1.40679e-05
555 6.58524e-05 1.32755e-05
557 3.89382e-05 7.21889e-06
559 3.74446e-05 8.30365e-06
561 6.43491e-05 1.25629e-05
563 7.04539e-05 1.31461e-05
565 5.68973e-05 1.17364e-05
567 6.44413e-05 1.25899e-05
569 5.09477e-05 9.98423e-06
571 5.54718e-05 1.15409e-05
573 7.0514e-05 1.2263e-05
575 5.55046e-05 1.13424e-05
577 5.25511e-05 1.2457e-05
579 5.85765e-05 1.55786e-05
581 5.11153e-05 1.29641e-05
583 5.41174e-05 1.31989e-05
585 5.55421e-05 1.52317e-05
587 5.10787e-05 1.36311e-05
589 6.9109e-05 1.5235e-05
591 6.16596e-05 1.26038e-05
593 4.66318e-05 9.43594e-06
595 6.77501e-05 1.4506e-05
597 5.72036e-05 1.23738e-05
599 6.9201e-05 1.584e-05
601 5.86923e-05 1.29201e-05
603 6.47955e-05 1.48169e-05
605 7.0794e-05 1.3879e-05
607 6.173e-05 1.29695e-05
609 6.17568e-05 1.24341e-05
611 4.96999e-05 1.12787e-05
613 4.52786e-05 8.93261e-06
615 5.42933e-05 1.25221e-05
617 4.98048e-05 1.08912e-05
619 6.34263e-05 1.46616e-05
621 5.13422e-05 1.17382e-05
623 4.37917e-05 9.61831e-06
625 3.92776e-05 9.93657e-06
627 4.38201e-05 1.07498e-05
629 4.23385e-05 1.28482e-05
631 5.59578e-05 1.42847e-05
633 6.96101e-05 1.56276e-05
635 5.44868e-05 1.18221e-05
637 5.59686e-05 1.39631e-05
639 5.15158e-05 1.34182e-05
641 5.45414e-05 1.36434e-05
643 8.03391e-05 1.44546e-05
645 8.78612e-05 1.76743e-05
647 6.97251e-05 1.52141e-05
649 5.31039e-05 1.18335e-05
651 8.04371e-05 1.78823e-05
653 7.89008e-05 1.70929e-05
655 5.46681e-05 1.22517e-05
657 6.68009e-05 1.53706e-05
659 4.40635e-05 1.05819e-05
661 5.16593e-05 1.27523e-05
663 5.16901e-05 1.03582e-05
665 6.08405e-05 1.15714e-05
667 8.21809e-05 1.80645e-05
669 5.48069e-05 1.30189e-05
671 5.93642e-05 1.81366e-05
673 6.70439e-05 1.58908e-05
675 6.71041e-05 1.51503e-05
677 6.54939e-05 1.52648e-05
679 5.4949e-05 1.26917e-05
681 6.71235e-05 1.33537e-05
683 7.16839e-05 1.45528e-05
685 4.57803e-05 1.32295e-05
687 7.17405e-05 1.53383e-05
689 7.17493e-05 1.55003e-05
691 6.86968e-05 1.15036e-05
693 7.48826e-05 1.4736e-05
695 6.88201e-05 1.52103e-05
697 5.96153e-05 1.39942e-05
699 5.3522e-05 1.13145e-05
701 7.6435e-05 1.91431e-05
703 5.96619e-05 1.75768e-05
705 5.81108e-05 1.27459e-05
707 5.04691e-05 1.35046e-05
709 6.12707e-05 1.10537e-05
711 5.51062e-05 1.09347e-05
713 5.66022e-05 1.30951e-05
715 5.36237e-05 1.13449e-05
717 5.97314e-05 1.33348e-05
719 5.67043e-05 1.19978e-05
721 3.21866e-05 9.27963e-06
723 2.4526e-05 6.75819e-06
725 4.29918e-05 1.04299e-05
727 4.30287e-05 9.98619e-06
729 4.29184e-05 1.20688e-05
731 2.76567e-05 7.32268e-06
733 3.22814e-05 7.92819e-06
735 4.30106e-05 1.21049e-05
737 3.99895e-05 1.12223e-05
739 4.30467e-05 1.0446e-05
741 4.14799e-05 1.28153e-05
743 6.76624e-05 1.71618e-05
745 4.772e-05 1.24421e-05
747 7.54716e-05 2.0512e-05
749 6.00728e-05 1.76954e-05
751 3.69752e-05 1.0716e-05
753 3.69149e-05 1.26959e-05
755 4.16078e-05 1.12969e-05
757 5.70282e-05 1.43922e-05
759 5.85949e-05 1.42574e-05
761 4.16502e-05 9.96118e-06
763 5.85736e-05 1.3218e-05
765 6.17323e-05 1.41505e-05
767 4.6329e-05 1.24501e-05
769 4.48033e-05 1.14224e-05
771 5.25379e-05 1.13992e-05
773 4.48586e-05 1.27976e-05
775 5.56784e-05 1.16749e-05
777 4.79995e-05 1.2908e-05
779 4.02266e-05 1.06358e-05
781 3.40221e-05 9.16854e-06
783 3.71033e-05 9.54873e-06
785 3.71689e-05 1.18282e-05
787 3.40106e-05 1.12573e-05
789 3.10178e-05 7.2767e-06
791 4.02506e-05 1.20936e-05
793 4.65225e-05 1.12817e-05
795 6.19535e-05 2.05131e-05
797 4.49636e-05 1.52573e-05
799 4.79889e-05 1.70319e-05
801 5.27354e-05 1.72648e-05
803 3.87643e-05 1.18663e-05
805 3.56939e-05 1.25594e-05
807 4.34798e-05 9.83777e-06
809 4.03665e-05 1.0887e-05
811 4.19344e-05 1.07231e-05
813 4.66343e-05 1.27153e-05
815 4.8184e-05 1.17842e-05
817 4.19808e-05 9.79586e-06
819 5.44616e-05 1.21243e-05
821 4.20575e-05 1.09939e-05
823 4.52223e-05 1.06536e-05
825 5.14107e-05 1.07964e-05
827 4.98918e-05 1.4241e-05
829 5.15329e-05 1.32702e-05
831 3.11986e-05 1.14656e-05
833 2.02468e-05 6.09171e-06
835 3.27594e-05 9.44432e-06
837 2.81234e-05 8.3806e-06
839 3.12654e-05 1.23089e-05
841 3.12568e-05 9.61689e-06
843 3.59865e-05 1.08045e-05
845 2.97204e-05 8.48525e-06
847 3.75274e-05 1.13053e-05
849 5.00306e-05 1.34119e-05
851 3.91061e-05 1.02295e-05
853 3.91409e-05 1.0243e-05
855 3.44432e-05 1.12012e-05
857 3.9138e-05 9.99501e-06
859 3.59831e-05 1.07924e-05
861 3.91017e-05 1.15638e-05
863 4.22924e-05 1.1266e-05
865 5.17013e-05 1.29274e-05
867 3.13427e-05 1.08633e-05
869 3.44801e-05 1.16351e-05
871 2.66723e-05 8.01844e-06
873 4.24002e-05 1.12941e-05
875 2.97895e-05 1.03097e-05
877 3.77813e-05 1.13838e-05
879 2.51496e-05 9.59965e-06
881 2.99284e-05 9.64709e-06
883 3.30055e-05 1.02606e-05
885 4.71738e-05 1.12261e-05
887 4.71904e-05 1.12361e-05
889 4.25273e-05 1.11147e-05
891 3.622e-05 9.92164e-06
893 3.62554e-05 1.15544e-05
895 4.09781e-05 9.62218e-06
897 5.52121e-05 1.51948e-05
899 3.62699e-05 9.41739e-06
901 3.62809e-05 8.88265e-06
903 4.41851e-05 1.22333e-05
905 5.36492e-05 1.14292e-05
907 5.36831e-05 1.18574e-05
909 3.7917e-05 1.16455e-05
911 6.80268e-05 1.40236e-05
913 4.58683e-05 1.00738e-05
915 5.69172e-05 1.35168e-05
917 3.47679e-05 1.12982e-05
919 4.10573e-05 1.08383e-05
921 6.16506e-05 1.56233e-05
923 4.43435e-05 9.78533e-06
925 4.58843e-05 1.16979e-05
927 3.80083e-05 1.07888e-05
929 4.90991e-05 1.15714e-05
931 6.49355e-05 1.74834e-05
933 5.07433e-05 1.09628e-05
935 4.9111e-05 2.04735e-05
937 3.32811e-05 8.47354e-06
939 1.90539e-05 6.46088e-06
941 2.06456e-05 6.61494e-06
943 2.86081e-05 1.01579e-05
945 3.17092e-05 9.76976e-06
947 3.01749e-05 9.45268e-06
949 3.02001e-05 8.01079e-06
951 2.86055e-05 7.24231e-06
953 2.06651e-05 6.22115e-06
955 2.70512e-05 8.73598e-06
957 2.54915e-05 7.38139e-06
959 1.43422e-05 6.79267e-06
961 2.22816e-05 7.46141e-06
963 1.43462e-05 7.16277e-06
965 2.38985e-05 8.54491e-06
967 2.55149e-05 8.64403e-06
969 3.34764e-05 1.43002e-05
971 2.55027e-05 9.99785e-06
973 2.07406e-05 8.02367e-06
975 3.03132e-05 9.21964e-06
