000100111001011010 852
000100111001100011 805
000100111100010110 814
000101011001110100 781
000101011010100110 826
000101101001011100 858
000101101001100101 824
000101101010001110 883
000101110001101010 883
000101110100100110 834
000101111000100110 848
000101111001001010 872
000101111001010100 816
000101111001011000 834
000101111001100001 881
000101111001100010 851
000101111001100100 822
000101111010000110 837
000101111010001010 882
000101111100000110 852
000101111100010100 812
000110001001110101 816
000110001010011110 812
000110001010100111 855
000110010001111010 769
000110010100110110 837
000110100001101011 783
000110100100011110 855
000110100100100111 853
000110101000011110 821
000110101000100111 743
000110101001001011 843
000110101001010101 877
000110101001011001 816
000110101001011010 796
000110101001011100 865
000110101001100011 818
000110101001100101 788
000110101010000111 802
000110101010001011 823
000110101010001110 767
000110101100000111 869
000110101100010101 805
000110101100010110 793
000110110001011010 865
000110110001100011 831
000110110001101010 856
000110110100010110 852
000110110100011010 843
000110110100100011 778
000110110100100110 866
000111000001111100 880
000111000010101110 832
000111001001011100 830
000111001001100101 843
000111001001110100 859
000111001010001110 810
000111001010011100 848
000111001010100101 811
000111001010100110 863
000111010001101010 852
000111010001110100 878
000111010001111000 792
000111010010100110 813
000111010010101010 831
000111010100100110 894
000111010100110100 810
001000111101010001 902
001000111110000011 865
001001011011011000 795
001001011011100001 834
001001011110010100 805
001001101011001001 868
001001101110000101 840
001001110101011000 838
001001110101100001 851
001001110110001010 811
001001111001011000 890
001001111001100001 805
001001111010001010 875
001001111011000001 886
001001111011001000 833
001001111100010100 847
001001111101000001 810
001001111101010000 843
001001111110000001 762
001001111110000010 842
001001111110000100 836
001010001011011001 813
001010001110010101 879
001010010101110001 856
001010010110011010 841
001010010110100011 806
001010100101011001 777
001010100110001011 816
001010101001011001 853
001010101010001011 855
001010101011001001 840
001010101100010101 802
001010101101010001 854
001010101110000011 822
001010101110000101 826
001010110100011010 810
001010110100100011 817
001010110101010001 775
001010110101011000 834
001010110101100001 843
001010110110000011 819
001010110110001010 817
001011000011101001 810
001011000110011100 837
001011000110100101 794
001011001010011100 828
001011001010100101 805
001011001011001001 847
001011001011011000 793
001011001011100001 784
001011001110000101 830
001011001110010100 794
001011010001111000 816
001011010010101010 818
001011010011011000 869
001011010011100001 852
001011010011101000 878
001011010100110100 827
001011010101011000 810
001011010101100001 836
001011010101110000 823
001011010110001010 847
001011010110010100 826
001011010110011000 816
001011010110100001 893
001011010110100010 849
001011010110100100 849
001100101001011001 821
001100101010001011 814
001100101100010101 890
001100110100011010 824
001100110100100011 810
001100111000011010 800
001100111000100011 859
001100111001010001 852
001100111001011000 844
001100111001100001 814
001100111010000011 852
001100111010001010 794
001100111100000011 857
001100111100010001 848
001100111100010010 825
001100111100010100 766
001101001010011100 802
001101001010100101 821
001101010001111000 784
001101010010101010 813
001101010100110100 793
001101011000110100 798
001101011001011000 823
001101011001100001 820
001101011001110000 767
001101011010001010 817
001101011010010100 845
001101011010011000 814
001101011010100001 792
001101011010100010 828
001101011010100100 820
001101011100010100 850
001101101000011100 832
001101101000100101 806
001101101001001001 826
001101101001011000 825
001101101001100001 787
001101101010000101 803
001101101010001001 829
001101101010001010 822
001101101010001100 816
001101101100000101 796
001101101100010100 842
001101110000101010 857
001101110001011000 797
001101110001100001 873
001101110001101000 840
001101110010001010 869
001101110100001010 862
001101110100010100 798
001101110100011000 861
001101110100100001 792
001101110100100010 829
001101110100100100 800
001101111000001010 751
001101111000010100 856
001101111000011000 835
001101111000100001 882
001101111000100010 815
001101111000100100 804
001101111001000001 793
001101111001001000 864
001101111001010000 860
001101111001100000 847
001101111010000001 795
001101111010000010 868
