#system_size rejection_rate stderr
1000 0.0346063 5.08634e-05
8000 0.0044588 1.61715e-05
125000 0.0002857 6.74989e-06
1000000 3.582e-05 8.71642e-07
3375000 1.011e-05 4.69989e-07
