#system_size rejection_rate stderr
1000 0.0062963 3.12919e-05
8000 0.000789 1.31469e-05
125000 5.25e-05 3.24731e-06
1000000 5.77e-06 3.14022e-07
3375000 1.98e-06 1.94833e-07
