#sequence_separation contact_probability stderr
401 0.000104949 5.98611e-06
403 0.000105818 6.40701e-06
405 9.7108e-05 5.83249e-06
407 0.000103486 5.84763e-06
409 0.000107393 6.88527e-06
411 9.69211e-05 6.18641e-06
413 9.63863e-05 5.4496e-06
415 0.000112395 7.10872e-06
417 9.55695e-05 5.73836e-06
419 9.85759e-05 6.09209e-06
421 9.56703e-05 5.52611e-06
423 9.54874e-05 6.36648e-06
425 9.12629e-05 5.31084e-06
427 9.49485e-05 6.622e-06
429 9.77718e-05 6.41377e-06
431 8.83102e-05 5.75182e-06
433 8.13805e-05 5.44746e-06
435 8.66565e-05 5.35403e-06
437 8.76181e-05 5.71328e-06
439 8.9077e-05 5.43781e-06
441 8.71946e-05 5.79816e-06
443 8.36134e-05 6.00102e-06
445 8.86205e-05 6.63026e-06
447 8.89388e-05 5.7607e-06
449 8.97986e-05 5.80813e-06
451 8.98767e-05 6.20582e-06
453 8.8566e-05 5.8732e-06
455 8.52472e-05 5.25218e-06
457 8.12263e-05 4.87601e-06
459 8.58407e-05 5.71057e-06
461 7.96705e-05 5.23294e-06
463 7.37913e-05 4.89623e-06
465 8.62942e-05 5.63043e-06
467 8.16234e-05 6.036e-06
469 7.52989e-05 5.52373e-06
471 7.4259e-05 4.7323e-06
473 7.30113e-05 4.44185e-06
475 7.89991e-05 5.49356e-06
477 7.49844e-05 5.1971e-06
479 7.0052e-05 5.40807e-06
481 7.5106e-05 5.35757e-06
483 8.16833e-05 5.471e-06
485 6.65458e-05 5.53747e-06
487 7.31412e-05 5.24398e-06
489 7.15237e-05 5.48907e-06
491 7.54491e-05 5.24887e-06
493 7.04523e-05 5.12816e-06
495 6.76531e-05 4.77835e-06
497 7.08239e-05 4.51653e-06
499 7.62988e-05 5.78997e-06
501 6.97602e-05 4.98633e-06
503 7.18197e-05 5.37127e-06
505 7.81643e-05 5.39931e-06
507 7.42057e-05 5.93219e-06
509 7.25304e-05 4.56831e-06
511 7.24286e-05 4.70222e-06
513 7.17669e-05 4.74487e-06
515 7.48859e-05 4.96173e-06
517 6.5226e-05 4.64977e-06
519 7.53418e-05 5.21907e-06
521 6.65363e-05 4.87274e-06
523 6.71218e-05 4.63516e-06
525 6.48378e-05 4.45681e-06
527 6.76513e-05 4.71244e-06
529 6.10411e-05 4.73517e-06
531 5.79904e-05 4.26314e-06
533 6.34109e-05 4.82856e-06
535 6.04095e-05 4.43448e-06
537 6.90301e-05 5.13886e-06
539 6.28589e-05 4.45705e-06
541 6.27095e-05 4.19444e-06
543 6.83621e-05 5.36085e-06
545 6.17617e-05 4.8376e-06
547 6.45443e-05 5.26541e-06
549 6.44138e-05 4.42355e-06
551 6.53454e-05 4.64202e-06
553 5.65374e-05 3.94241e-06
555 6.01903e-05 5.00453e-06
557 5.96951e-05 4.3928e-06
559 6.33183e-05 4.65168e-06
561 5.86042e-05 4.09982e-06
563 6.2465e-05 4.90865e-06
565 5.85324e-05 4.57519e-06
567 5.9472e-05 4.26731e-06
569 6.65836e-05 5.44485e-06
571 5.88601e-05 5.18912e-06
573 6.03646e-05 4.96968e-06
575 6.6062e-05 5.47475e-06
577 6.0863e-05 5.15255e-06
579 5.71662e-05 4.56154e-06
581 5.55582e-05 4.94757e-06
583 5.32983e-05 4.37533e-06
585 5.46599e-05 4.37955e-06
587 5.01698e-05 4.59004e-06
589 5.24736e-05 3.76096e-06
591 5.23715e-05 4.73213e-06
593 5.57893e-05 4.47229e-06
595 5.33407e-05 4.61831e-06
