#sequence_separation contact_probability stderr
3 0.160509 3.13286e-05
5 0.0799585 2.75456e-05
7 0.0482625 2.23639e-05
9 0.0330087 1.95038e-05
11 0.0242444 1.92805e-05
13 0.0187433 1.76336e-05
15 0.0150531 1.63656e-05
17 0.0124252 1.6872e-05
19 0.0104898 1.41475e-05
21 0.00899882 1.36075e-05
23 0.00783647 1.17181e-05
25 0.00690002 1.03602e-05
27 0.00613508 1.04118e-05
29 0.00549993 8.95276e-06
31 0.00498253 8.76302e-06
33 0.00450831 8.48172e-06
35 0.00412641 8.55562e-06
37 0.00379976 8.41203e-06
39 0.00350543 7.5388e-06
41 0.00324411 7.63961e-06
43 0.00301319 7.68573e-06
45 0.00281418 7.59431e-06
47 0.00262658 7.51311e-06
49 0.00247368 7.41043e-06
51 0.00233166 6.85286e-06
53 0.00219708 6.33881e-06
55 0.00208097 6.69487e-06
57 0.00196805 6.69027e-06
59 0.00186688 5.94362e-06
61 0.00178024 5.66616e-06
63 0.00168366 5.03296e-06
65 0.00161088 5.58131e-06
67 0.00154168 5.15608e-06
69 0.00147813 5.55686e-06
71 0.00141461 5.81186e-06
73 0.00135191 5.53551e-06
75 0.00130237 5.11888e-06
77 0.00124732 5.10996e-06
79 0.00119261 4.44469e-06
81 0.00114945 4.54949e-06
83 0.00111114 4.40359e-06
85 0.00107339 4.16425e-06
87 0.00103259 4.43662e-06
89 0.000997407 4.53776e-06
91 0.000964894 5.07244e-06
93 0.000928268 4.09394e-06
95 0.000896856 4.54927e-06
97 0.000875096 4.40871e-06
99 0.00084821 4.3835e-06
101 0.000823021 3.99069e-06
103 0.000794021 4.00653e-06
105 0.000776393 4.02649e-06
107 0.000753474 4.03642e-06
109 0.00073431 3.8935e-06
111 0.000714662 4.13413e-06
113 0.000694458 3.4275e-06
115 0.000682277 3.02189e-06
117 0.000666315 3.93756e-06
119 0.000647541 3.63551e-06
121 0.000624704 4.03907e-06
123 0.000610397 3.93576e-06
125 0.000597703 3.3868e-06
127 0.000579128 3.21053e-06
129 0.000569028 3.59358e-06
131 0.000559315 3.3891e-06
133 0.000542491 3.21021e-06
135 0.000533296 2.94723e-06
137 0.000517611 3.02877e-06
139 0.000508066 3.07921e-06
141 0.00049668 3.31608e-06
143 0.000483629 3.27343e-06
145 0.000477285 3.15832e-06
147 0.000464975 2.70435e-06
149 0.000456087 3.18674e-06
151 0.000447575 2.8602e-06
153 0.000440178 3.49432e-06
155 0.000431142 2.86412e-06
157 0.000426489 3.11427e-06
159 0.000414422 2.9253e-06
161 0.000413177 2.95032e-06
163 0.000404516 2.98487e-06
165 0.000395649 2.93393e-06
167 0.000393406 2.84982e-06
169 0.000382758 2.99546e-06
171 0.000374898 2.69991e-06
173 0.000369051 2.83095e-06
175 0.000359013 2.90032e-06
177 0.000351521 2.66682e-06
179 0.000348002 2.79881e-06
181 0.000340899 2.70072e-06
183 0.000336124 2.75316e-06
185 0.00032799 2.75776e-06
187 0.000321391 2.27265e-06
189 0.000314269 2.30884e-06
191 0.000311131 2.65932e-06
193 0.00030843 2.33879e-06
195 0.000304436 2.85155e-06
197 0.000300302 2.38083e-06
199 0.000296562 2.40071e-06
201 0.000290021 2.53984e-06
203 0.000287155 2.44096e-06
205 0.000285868 2.35992e-06
207 0.00027803 2.3135e-06
209 0.000276165 2.63646e-06
211 0.00027317 2.38952e-06
213 0.000271979 2.38708e-06
215 0.000265102 2.30182e-06
217 0.000258957 2.3953e-06
219 0.000257668 2.27324e-06
221 0.000256311 2.17005e-06
223 0.000248858 2.53213e-06
225 0.000248797 2.48102e-06
227 0.000243591 2.41756e-06
229 0.000240145 2.12186e-06
231 0.000238893 2.3252e-06
233 0.000234486 2.08021e-06
235 0.000233234 1.9406e-06
237 0.000231202 2.09214e-06
239 0.000226067 2.13958e-06
241 0.000223542 2.17017e-06
243 0.000220342 2.31903e-06
245 0.000218532 2.294e-06
247 0.000213221 2.3115e-06
249 0.000212393 2.16708e-06
251 0.000210417 2.56548e-06
253 0.000207791 2.18276e-06
255 0.000205196 1.97329e-06
257 0.000204594 2.0817e-06
259 0.000198835 2.13552e-06
261 0.000199605 2.10426e-06
263 0.000194784 2.07658e-06
265 0.000193475 2.08175e-06
267 0.000191897 1.94649e-06
269 0.000189619 1.79018e-06
271 0.000185772 1.9308e-06
273 0.00018537 1.97548e-06
275 0.000184394 1.85345e-06
277 0.000181466 1.99513e-06
279 0.000182994 1.89178e-06
281 0.000177449 1.93688e-06
283 0.00017305 2.15779e-06
285 0.000173499 1.80889e-06
287 0.000172196 1.9168e-06
289 0.000168777 1.87343e-06
291 0.000165643 1.81053e-06
293 0.000164864 1.90874e-06
295 0.000162899 1.62208e-06
297 0.000161958 1.95032e-06
299 0.000160369 1.98264e-06
301 0.000160633 1.75099e-06
303 0.000157918 1.64557e-06
305 0.00015667 1.7049e-06
307 0.00015608 1.95609e-06
309 0.000153464 1.76908e-06
311 0.000153587 1.67687e-06
313 0.000151042 1.74052e-06
315 0.000149757 1.95869e-06
317 0.000148742 1.69171e-06
319 0.000145544 1.71781e-06
321 0.000144217 1.84484e-06
323 0.000141317 1.92029e-06
325 0.000140604 1.92823e-06
327 0.000141024 1.82924e-06
329 0.000140789 1.74809e-06
331 0.000141205 1.80487e-06
333 0.000138568 1.73241e-06
335 0.000136522 1.66719e-06
337 0.000135307 1.63524e-06
339 0.000136382 1.74411e-06
341 0.000133772 1.69239e-06
343 0.000131689 1.63534e-06
345 0.000131247 1.58954e-06
347 0.000130412 1.58896e-06
349 0.000128637 1.7148e-06
351 0.000127496 1.62124e-06
353 0.000124082 1.65674e-06
355 0.000124216 1.65093e-06
357 0.000121297 1.7978e-06
359 0.000121 1.58162e-06
361 0.000122475 1.78776e-06
363 0.000121804 1.72209e-06
365 0.000119867 1.68994e-06
367 0.000116869 1.62842e-06
369 0.000115413 1.57526e-06
371 0.000115733 1.66003e-06
373 0.000113295 1.52084e-06
375 0.000113752 1.39941e-06
377 0.000114306 1.61652e-06
379 0.000112614 1.39282e-06
381 0.000109909 1.40485e-06
383 0.000110148 1.40855e-06
385 0.000110113 1.46813e-06
387 0.000106999 1.52366e-06
389 0.000107646 1.5217e-06
391 0.000108477 1.4538e-06
393 0.000107023 1.40973e-06
395 0.00010593 1.35067e-06
397 0.000104329 1.48485e-06
399 0.000104067 1.43378e-06
401 0.00010203 1.59262e-06
403 0.000101296 1.43066e-06
405 0.000101184 1.30847e-06
407 9.96463e-05 1.34437e-06
409 9.65203e-05 1.36209e-06
411 9.58886e-05 1.27047e-06
413 9.62742e-05 1.3313e-06
415 9.6474e-05 1.40233e-06
417 9.74517e-05 1.56511e-06
419 9.72431e-05 1.47845e-06
