#system_size rejection_rate stderr
1000 0.0693523 0.000150101
8000 0.0090208 3.05427e-05
125000 0.0005858 1.18876e-05
1000000 7.301e-05 8.22612e-07
3375000 2.225e-05 9.24905e-07
