#sequence_separation reesq stderr
10 14.8194 0.00335093
20 30.8132 0.0111832
40 63.391 0.0340979
80 129.437 0.103189
160 262.766 0.300266
320 531.015 0.807026
640 1069.12 2.21771
1280 2150.29 6.64083
2560 4299.52 20.6107
5120 8546.54 63.6667
10240 16932.3 175.202
20480 33450 488.083
40960 66364.7 1279.02
81920 129188 3338.26
163840 253942 9957.19
327680 518115 26568.7
