#sequence_separation contact_probability stderr
3 0.160723 0.000280241
5 0.0800171 0.000271646
7 0.0486654 0.00019301
9 0.0330307 0.000179622
11 0.024341 0.000154756
13 0.0188765 0.000143241
15 0.015149 0.000132294
17 0.0125804 0.000125673
19 0.0105505 0.000119035
21 0.00904624 0.000112273
23 0.00787785 0.000111453
25 0.00695933 0.00010775
27 0.00623612 0.00010406
29 0.00560987 9.56091e-05
31 0.0049913 8.43522e-05
33 0.00450571 7.9995e-05
35 0.00401751 7.42356e-05
37 0.00381064 6.61389e-05
39 0.00355907 7.55493e-05
41 0.00332466 7.00021e-05
43 0.0030307 6.87256e-05
45 0.00282165 6.32252e-05
47 0.00272972 6.77185e-05
49 0.00258418 6.70779e-05
51 0.00237656 6.5259e-05
53 0.00225447 6.28399e-05
55 0.00213878 6.6582e-05
57 0.00208733 5.56811e-05
59 0.00191813 5.48404e-05
61 0.00175104 5.47481e-05
63 0.00167826 5.93368e-05
65 0.00166714 5.77096e-05
67 0.00165997 5.22513e-05
69 0.00148147 5.42159e-05
71 0.00138471 4.3782e-05
73 0.00137747 4.4295e-05
75 0.00128918 4.45709e-05
77 0.00128271 4.45228e-05
79 0.00122906 4.31972e-05
81 0.00121361 4.33207e-05
83 0.00115636 4.70691e-05
85 0.00115338 4.05667e-05
87 0.00106455 4.11442e-05
89 0.00104048 4.24256e-05
91 0.000995471 4.21354e-05
93 0.000956703 3.62942e-05
95 0.000885481 3.89081e-05
97 0.000837752 3.08893e-05
99 0.000807428 3.74297e-05
101 0.000882468 4.70569e-05
103 0.000796234 4.31128e-05
105 0.000818231 3.84122e-05
107 0.000732089 3.20489e-05
109 0.000746448 3.59785e-05
111 0.000675131 3.39831e-05
113 0.000699743 3.36552e-05
115 0.000694851 3.0431e-05
117 0.000705478 3.40037e-05
119 0.000673518 3.11605e-05
121 0.000658117 3.17612e-05
123 0.000630464 3.41022e-05
125 0.000593426 2.78302e-05
127 0.000626437 3.10338e-05
129 0.000567611 2.91412e-05
131 0.000506692 2.61617e-05
133 0.000589083 3.31153e-05
135 0.000549328 2.73704e-05
137 0.000542909 2.91978e-05
139 0.000541559 2.58026e-05
141 0.000481936 2.66842e-05
143 0.000473255 3.24192e-05
145 0.000487449 3.01986e-05
147 0.000452533 2.99703e-05
149 0.00048281 2.44682e-05
151 0.000454607 3.00204e-05
153 0.000427976 2.45265e-05
155 0.000414219 2.47305e-05
157 0.000440899 2.67406e-05
159 0.000446627 2.23541e-05
161 0.000403719 2.54668e-05
163 0.000425894 2.5891e-05
165 0.00040831 2.60979e-05
167 0.00039007 2.61439e-05
169 0.000370831 2.8182e-05
171 0.000394543 2.84429e-05
173 0.00040072 2.55065e-05
175 0.000326643 2.10533e-05
177 0.000358889 2.69204e-05
179 0.000355761 2.40415e-05
181 0.000324334 2.19212e-05
183 0.000320342 2.52674e-05
185 0.000324803 2.65981e-05
187 0.000366305 2.87434e-05
189 0.000317559 2.6581e-05
191 0.000300722 2.21839e-05
193 0.000300284 2.55117e-05
195 0.000287475 2.36201e-05
197 0.000295256 2.09483e-05
199 0.00029047 2.25167e-05
201 0.000267356 2.10338e-05
203 0.000262131 2.15006e-05
205 0.000282153 2.04361e-05
207 0.000271149 2.32531e-05
209 0.00027709 2.19251e-05
211 0.000271779 2.1303e-05
213 0.000292971 2.2373e-05
215 0.000253926 1.92465e-05
217 0.000272946 2.44065e-05
219 0.000261835 2.41877e-05
221 0.000268985 2.29803e-05
223 0.000260326 2.30106e-05
225 0.000242051 2.07488e-05
227 0.000218705 2.19939e-05
229 0.000240611 1.93185e-05
231 0.000217963 1.65064e-05
233 0.000231054 1.96247e-05
235 0.000235187 2.19455e-05
237 0.000246903 2.07086e-05
239 0.000233402 2.16867e-05
241 0.000238374 2.24066e-05
243 0.000238228 2.06044e-05
245 0.000196364 1.70042e-05
247 0.000227231 1.70673e-05
249 0.000217805 1.93276e-05
251 0.000230852 1.93116e-05
253 0.000225049 2.14251e-05
255 0.000200541 1.8337e-05
257 0.000242855 2.06933e-05
259 0.000226438 2.00068e-05
261 0.000207818 1.62373e-05
263 0.000213274 1.6932e-05
265 0.000192859 1.83008e-05
267 0.000200616 1.91583e-05
269 0.000166139 1.72748e-05
271 0.000195795 1.69998e-05
273 0.000211378 1.79509e-05
275 0.000178732 1.57136e-05
277 0.000177144 1.62096e-05
279 0.000199299 2.15736e-05
281 0.000181421 1.92183e-05
283 0.000204663 2.13599e-05
285 0.000168727 1.75234e-05
287 0.000137225 1.2142e-05
289 0.000175124 1.80902e-05
291 0.000166536 1.55043e-05
293 0.000158899 1.44623e-05
295 0.00017793 1.73228e-05
297 0.000197251 1.76218e-05
299 0.000180451 1.5849e-05
301 0.000153668 1.3346e-05
303 0.000132309 1.26115e-05
305 0.000164262 1.81757e-05
307 0.000145235 1.48977e-05
309 0.000165089 1.58654e-05
311 0.000159722 1.67869e-05
313 0.000157895 1.66698e-05
315 0.000139588 1.41997e-05
317 0.000135816 1.69579e-05
319 0.000165576 1.67769e-05
321 0.000135481 1.32212e-05
323 0.000157717 1.73018e-05
325 0.000177912 1.59084e-05
327 0.000157976 1.55951e-05
329 0.000142387 1.444e-05
331 0.000154781 1.34948e-05
333 0.000143193 1.55891e-05
335 0.000140655 1.41543e-05
337 0.000155631 1.53702e-05
339 0.000137892 1.42752e-05
341 0.000130375 1.58752e-05
343 0.000144406 1.47477e-05
345 0.00015806 1.7211e-05
347 0.000141013 1.66323e-05
349 0.000127876 1.67326e-05
351 0.000136374 1.46056e-05
353 0.000112128 1.25654e-05
355 0.000134114 1.46808e-05
357 0.000123096 1.44804e-05
359 0.000132161 1.47473e-05
361 0.000131988 1.475e-05
363 0.000122884 1.49537e-05
