#sequence_separation reesq stderr
10 14.818 0.00187135
20 30.7998 0.00552255
40 63.2924 0.0171892
80 129.094 0.0543083
160 261.785 0.159359
320 528.904 0.458357
640 1065.93 1.31038
1280 2143.21 3.73426
2560 4300.98 10.0428
5120 8609.17 29.4795
10240 17270.8 88.6313
20480 34553.3 247.79
40960 68918.3 668.763
81920 135353 2010.78
163840 260191 5983.11
327680 502647 16045
655360 981149 43220
1310720 2.11777e+06 120621
