#n_linear_chains rejection_rate stderr
1 3.08e-06 1.88043e-07
2 5.77e-06 3.14022e-07
5 1.752e-05 5.87163e-07
10 3.582e-05 8.71642e-07
20 7.301e-05 8.22612e-07
