#sequence_separation contact_probability stderr
3 0.160642 0.000178619
5 0.0801774 0.000169556
7 0.0481613 0.000134594
9 0.0329628 0.000124426
11 0.0242807 0.000114618
13 0.0187963 9.96224e-05
15 0.0151726 8.35576e-05
17 0.0125567 7.7477e-05
19 0.0105323 8.65449e-05
21 0.00916386 7.54851e-05
23 0.00787096 7.33847e-05
25 0.00699653 8.07386e-05
27 0.00627052 6.68477e-05
29 0.00550375 6.15756e-05
31 0.00498468 5.38334e-05
33 0.00451043 5.36987e-05
35 0.00418122 5.34678e-05
37 0.00386024 5.47525e-05
39 0.00352636 4.79004e-05
41 0.00329056 5.60441e-05
43 0.0031229 5.30876e-05
45 0.00283485 4.96843e-05
47 0.00265826 4.50629e-05
49 0.00249781 4.05787e-05
51 0.00233297 4.55123e-05
53 0.00219156 3.38554e-05
55 0.00207675 4.02472e-05
57 0.00196772 3.82831e-05
59 0.0018777 3.82454e-05
61 0.00178942 3.8071e-05
63 0.00165442 3.58768e-05
65 0.00159226 3.85825e-05
67 0.00156049 3.95744e-05
69 0.00147144 3.64469e-05
71 0.00135354 3.02063e-05
73 0.00132996 3.06444e-05
75 0.00130716 3.4016e-05
77 0.00121092 2.87087e-05
79 0.00120985 3.01231e-05
81 0.00118206 3.07017e-05
83 0.00114705 2.85411e-05
85 0.00107859 2.95698e-05
87 0.00103279 2.90489e-05
89 0.00101801 2.9093e-05
91 0.000929712 2.72306e-05
93 0.00089759 2.51081e-05
95 0.00089856 2.37907e-05
97 0.000859965 2.56698e-05
99 0.000862381 2.5302e-05
101 0.000856782 2.55854e-05
103 0.000854922 2.61472e-05
105 0.000762149 2.42038e-05
107 0.000732191 2.42636e-05
109 0.000717677 2.6039e-05
111 0.000689039 2.34491e-05
113 0.00065661 2.26315e-05
115 0.000680789 2.18243e-05
117 0.000682384 2.40975e-05
119 0.000645081 2.19916e-05
121 0.00061001 2.19147e-05
123 0.000597122 2.14183e-05
125 0.00059565 2.25619e-05
127 0.000608881 2.29487e-05
129 0.000595628 2.47105e-05
131 0.000601186 2.32594e-05
133 0.000550208 1.98184e-05
135 0.000542539 2.0382e-05
137 0.000488042 2.13596e-05
139 0.000504371 2.00949e-05
141 0.000473248 1.81553e-05
143 0.000479819 2.21619e-05
145 0.000467242 1.91663e-05
147 0.000455077 1.92979e-05
149 0.000448643 2.01557e-05
151 0.000468486 1.87266e-05
153 0.000463923 1.88444e-05
155 0.000462064 1.88819e-05
157 0.000417247 1.67967e-05
159 0.000425291 1.7628e-05
161 0.000430698 1.81181e-05
163 0.000420364 1.57404e-05
165 0.000400214 1.98065e-05
167 0.000410602 1.74154e-05
169 0.000401837 1.92534e-05
171 0.000400533 1.6967e-05
173 0.000357002 1.64227e-05
175 0.000364612 1.67487e-05
177 0.000341502 1.62797e-05
179 0.000339084 1.62327e-05
181 0.000337652 1.54101e-05
183 0.0003646 1.87571e-05
185 0.000328846 1.85533e-05
187 0.00032223 1.7245e-05
189 0.000305973 1.39136e-05
191 0.000269905 1.27714e-05
193 0.000288135 1.56517e-05
195 0.000293214 1.57429e-05
197 0.000294284 1.58746e-05
199 0.00027806 1.53734e-05
201 0.000269413 1.38833e-05
203 0.000284322 1.76161e-05
205 0.000261919 1.56277e-05
207 0.000285822 1.62248e-05
209 0.000272376 1.4977e-05
211 0.000262918 1.70702e-05
213 0.000241013 1.60351e-05
215 0.000256341 1.4416e-05
217 0.000255174 1.34543e-05
219 0.000246828 1.39256e-05
221 0.000257039 1.47094e-05
223 0.000241742 1.48695e-05
225 0.00025313 1.48227e-05
227 0.000256534 1.32915e-05
229 0.000260225 1.74634e-05
231 0.000264439 1.55631e-05
233 0.000229341 1.13728e-05
235 0.000261999 1.27142e-05
237 0.00022509 1.40479e-05
239 0.00027185 1.49681e-05
241 0.000234185 1.40439e-05
243 0.000225705 1.29731e-05
245 0.00021503 1.27519e-05
247 0.000213623 1.3091e-05
249 0.000210646 1.24623e-05
251 0.000229828 1.31461e-05
253 0.000208556 1.38142e-05
255 0.000205108 1.44069e-05
257 0.000206391 1.44772e-05
259 0.000200431 1.36781e-05
261 0.000186574 1.24273e-05
263 0.000190523 1.26811e-05
265 0.000171399 1.2004e-05
267 0.000174243 1.27228e-05
269 0.000183912 1.19038e-05
271 0.000174654 1.13042e-05
273 0.000172642 1.15708e-05
275 0.000186979 1.19659e-05
277 0.000182829 1.25632e-05
279 0.000165162 9.88137e-06
281 0.000186633 1.19715e-05
283 0.000186181 1.32775e-05
285 0.000162622 1.12428e-05
287 0.000172069 1.16882e-05
289 0.000170366 1.13753e-05
291 0.000168481 1.20642e-05
293 0.000159521 1.08151e-05
295 0.000161582 1.16946e-05
297 0.000159154 1.20391e-05
299 0.000161265 1.39253e-05
301 0.000154092 1.13516e-05
303 0.000169995 1.36791e-05
305 0.000176022 1.20637e-05
307 0.000166778 1.28798e-05
