#n_data 100000
#phi_bin_left phi_bin_right probability stderr
0.0 0.1 0.0005700 6.11490e-06
0.1 0.2 0.0006149 4.80094e-06
0.2 0.3 0.0006394 9.47439e-06
0.3 0.4 0.0006991 7.08865e-06
0.4 0.5 0.0007783 9.187e-06
0.5 0.6 0.0008729 8.1209e-06
0.6 0.7 0.0010347 1.1631e-05
0.7 0.8 0.0013223 1.04221e-05
0.80 0.81 0.001618 3.29181e-05
0.81 0.82 0.001708 4.07873e-05
0.82 0.83 0.001823 3.64431e-05
0.83 0.84 0.001932 4.47169e-05
0.84 0.85 0.002085 3.39779e-05
0.85 0.86 0.002244 4.78581e-05
0.86 0.87 0.002486 3.00067e-05
0.87 0.88 0.002874 5.31074e-05
0.88 0.89 0.003468 6.70343e-05
0.89 0.9 0.004536 4.58737e-05
0.900 0.901 0.00598 0.000152184
0.901 0.902 0.00658 0.000153493
0.902 0.903 0.00713 0.00028286
0.903 0.904 0.00802 0.000282064
0.904 0.905 0.00799 0.000214686
0.905 0.906 0.00977 0.000244969
0.906 0.907 0.01045 0.000414548
0.907 0.908 0.01097 0.000286024
0.908 0.909 0.0098 0.000376298
0.909 0.91 0.0085 0.000317175
0.910 0.911 0.00665 0.000245459
0.911 0.912 0.00379 0.000141032
0.912 0.913 0.00214 0.000148459
0.913 0.914 0.001 8.24621e-05
0.914 0.915 0.00023 5.66569e-05
0.915 0.916 0.0001 4.24264e-05
