#sequence_separation reesq stderr
10 14.8092 0.0247334
20 30.7089 0.0786898
40 62.916 0.226606
80 128.403 0.724493
160 259.985 2.17939
320 522.2 5.95619
640 1052.72 16.7531
1280 2129.44 45.2896
2560 4362.08 135.26
5120 8880.46 383.014
