#n_data 100000
#phi_bin_left phi_bin_right probability stderr
0.0 0.1 4.45e-05 1.36565e-06
0.1 0.2 0.0001447 2.63078e-06
0.2 0.3 0.0002631 4.26486e-06
0.3 0.4 0.0004045 4.13582e-06
0.4 0.5 0.0005601 3.19828e-06
0.5 0.6 0.0007815 6.04194e-06
0.6 0.7 0.0011001 1.20029e-05
0.7 0.8 0.0016462 1.09424e-05
0.80 0.81 0.002066 2.67283e-05
0.81 0.82 0.002198 2.98597e-05
0.82 0.83 0.002409 5.24109e-05
0.83 0.84 0.002618 4.68786e-05
0.84 0.85 0.002832 6.51429e-05
0.85 0.86 0.003059 5.37857e-05
0.86 0.87 0.003425 5.63959e-05
0.87 0.88 0.003943 3.98259e-05
0.88 0.89 0.004668 4.48509e-05
0.89 0.9 0.005975 7.7785e-05
0.900 0.901 0.00726 0.000244622
0.901 0.902 0.00786 0.000264651
0.902 0.903 0.00839 0.000183548
0.903 0.904 0.0089 0.000190263
0.904 0.905 0.00923 0.000227178
0.905 0.906 0.00962 0.000263742
0.906 0.907 0.01079 0.000233431
0.907 0.908 0.01028 0.000181549
0.908 0.909 0.0108 0.000367967
0.909 0.91 0.01113 0.000338836
0.910 0.911 0.0108 0.0004245
0.911 0.912 0.01086 0.000471847
0.912 0.913 0.01036 0.000290241
0.913 0.914 0.00942 0.000361884
0.914 0.915 0.00854 0.000382152
0.915 0.916 0.00771 0.000299149
0.916 0.917 0.0064 0.000267955
0.917 0.918 0.00468 0.000202879
0.918 0.919 0.00371 0.000129962
0.919 0.92 0.00259 7.27324e-05
0.920 0.921 0.00185 0.000114237
0.921 0.922 0.00105 0.000121037
0.922 0.923 0.00062 7.04273e-05
0.923 0.924 0.00045 6.5192e-05
0.924 0.925 0.00014 3.52136e-05
0.925 0.926 0.0001 2e-05
0.926 0.927 4e-05 1.54919e-05
0.927 0.928 2e-05 1.26491e-05
