#abs_lk_int mean_probability stderr
0 0.153 0.009
1 0.214 0.011
2 0.173 0.015
3 0.139 0.014
4 0.100 0.011
5 0.070 0.006
6 0.040 0.007
7 0.025 0.006
8 0.030 0.004
9 0.012 0.005
10 0.018 0.004
11 0.008 0.003
12 0.008 0.002
13 0.003 0.001
14 0.003 0.002
15 0.002 0.001
16 0.001 0.001
17 0.001 0.001
