#abs_lk_int mean_probability stderr
0 0.253 0.009
1 0.349 0.010
2 0.229 0.008
3 0.094 0.011
4 0.034 0.005
5 0.021 0.004
6 0.015 0.004
7 0.002 0.001
8 0.001 0.001
10 0.001 0.001
15 0.001 0.001
