#abs_lk_int mean_probability stderr
0 0.114 0.006
1 0.212 0.011
2 0.160 0.013
3 0.110 0.008
4 0.102 0.011
5 0.074 0.003
6 0.061 0.008
7 0.040 0.006
8 0.027 0.005
9 0.033 0.005
10 0.018 0.004
11 0.010 0.003
12 0.012 0.003
13 0.010 0.003
14 0.005 0.002
15 0.005 0.003
16 0.003 0.001
17 0.001 0.001
19 0.002 0.001
25 0.001 0.001
