#abs_lk_int mean_probability stderr
0 0.232 0.010
1 0.327 0.013
2 0.192 0.015
3 0.095 0.009
4 0.071 0.008
5 0.039 0.009
6 0.025 0.005
7 0.014 0.003
8 0.003 0.001
9 0.002 0.001
