#abs_lk_int mean_probability stderr
0 0.188 0.012
1 0.304 0.015
2 0.184 0.009
3 0.122 0.008
4 0.085 0.008
5 0.049 0.006
6 0.029 0.007
7 0.020 0.003
8 0.007 0.002
9 0.002 0.001
10 0.006 0.003
11 0.002 0.001
12 0.002 0.001
