450 0.628 0.017
3600 1.07 0.03
12150 1.49 0.04
28800 1.78 0.05
56250 2.14 0.06
97200 2.47 0.07
154350 2.68 0.08
230400 2.98 0.09
328050 3.40 0.10
450000 3.62 0.11
