0 0 0.0
0 10 0.1
0 11 1.9
0 12 0.2
0 15 0.2
0 16 -0.1
0 19 -0.5
0 20 0.9
0 31 -0.9
0 32 -0.1
1 11 0.1
1 12 -0.1
1 19 -0.2
1 20 -0.1
1 31 0.2
1 32 0.1
2 33 2.0
3 15 -0.1
3 33 -0.9
3 34 -4.1
3 35 0.1
4 15 -0.1
4 19 -1.0
4 31 -0.2
4 34 0.1
5 8 0.1
5 10 -0.1
5 11 0.1
5 12 -0.1
5 15 0.5
5 16 -0.3
5 31 0.2
5 32 -0.5
5 33 0.1
5 34 0.3
5 35 1.0
6 8 0.4
6 15 0.1
6 16 -0.1
6 32 0.2
6 35 -0.1
7 8 1.7
7 16 -0.1
7 32 0.1
7 34 -0.1
16 22 0.1
16 23 -0.1
17 21 0.1
17 23 0.1
19 21 0.6
19 31 0.2
20 21 4.3
21 21 -0.1
21 22 -0.1
21 37 -0.1
21 38 -0.1
22 38 0.1
22 40 0.1
23 37 -0.1
23 38 -0.1
23 40 -0.1
24 38 -0.1
26 32 -0.1
34 7 -0.1
35 15 -0.1
35 33 1.8
35 34 0.3
35 35 -0.9
35 37 -0.1
36 37 0.9
46 43 0.0
