#abs_lk_int mean_probability stderr
0 0.151 0.014
1 0.304 0.017
2 0.166 0.012
3 0.111 0.007
4 0.102 0.008
5 0.057 0.008
6 0.049 0.007
7 0.025 0.005
8 0.015 0.004
9 0.008 0.002
10 0.001 0.001
11 0.004 0.002
12 0.004 0.002
13 0.003 0.001
