#abs_lk_int mean_probability stderr
0 0.117 0.010
1 0.226 0.010
2 0.154 0.014
3 0.132 0.011
4 0.097 0.009
5 0.073 0.010
6 0.052 0.008
7 0.050 0.008
8 0.033 0.009
9 0.015 0.004
10 0.016 0.005
11 0.007 0.002
12 0.007 0.002
13 0.005 0.003
14 0.005 0.002
15 0.005 0.002
16 0.002 0.002
17 0.001 0.001
18 0.001 0.001
19 0.001 0.001
21 0.001 0.001
