#left_bin_val right_bin_val probability stderr
0.0 0.1 4.63e-05  1.99825e-06
0.1 0.2 0.0001522 3.24592e-06
0.2 0.3 0.0002669 4.68711e-06
0.3 0.4 0.0004099 5.33001e-06
0.4 0.5 0.0005806 4.71847e-06
0.5 0.6 0.0007969 8.51405e-06
0.6 0.7 0.0011228 1.0395e-05
0.7 0.8 0.0016303 1.04077e-05
0.80 0.81 0.00216 4.9679e-05
0.81 0.82 0.002412 5.50418e-05
0.82 0.83 0.002417 2.895e-05
0.83 0.84 0.002658 4.70489e-05
0.84 0.85 0.002884 5.73794e-05
0.85 0.86 0.003293 5.59294e-05
0.86 0.87 0.003505 7.08555e-05
0.87 0.88 0.004111 6.40383e-05
0.88 0.89 0.004984 6.86906e-05
0.89 0.9 0.0068 6.14817e-05
0.900 0.901 0.0083 0.000231517
0.901 0.902 0.00937 0.000250619
0.902 0.903 0.00994 0.000354175
0.903 0.904 0.01218 0.000353497
0.904 0.905 0.01237 0.000329864
0.905 0.906 0.01426 0.000306007
0.906 0.907 0.0152 0.000263439
0.907 0.908 0.01595 0.000366674
0.908 0.909 0.01544 0.000290586
0.909 0.91 0.01245 0.000297405
0.910 0.911 0.0097 0.0003228
0.911 0.912 0.00649 0.000275844
0.912 0.913 0.00359 0.000158398
0.913 0.914 0.00134 8.74071e-05
0.914 0.915 0.0004 3.16228e-05
0.915 0.916 0.00017 2.84605e-05
0.916 0.917 2e-05 1.26491e-05
