#left_bin_val right_bin_val probability stderr
0.1 0.2 1.5e-06 3.80789e-07
0.2 0.3 8.8e-06 5.25357e-07
0.3 0.4 3.99e-05 2.5316e-06
0.4 0.5 0.0001191 2.05158e-06
0.5 0.6 0.0003004 5.68894e-06
0.6 0.7 0.0006773 6.52848e-06
0.7 0.8 0.0015432 8.98421e-06
0.80 0.81 0.002495 3.15357e-05
0.81 0.82 0.002745 5.12299e-05
0.82 0.83 0.003016 3.88381e-05
0.83 0.84 0.003417 5.0041e-05
0.84 0.85 0.003784 6.15337e-05
0.85 0.86 0.004374 6.62148e-05
0.86 0.87 0.005078 8.34122e-05
0.87 0.88 0.006 0.000111687
0.88 0.89 0.007618 7.37943e-05
0.89 0.9 0.01068 8.62786e-05
0.900 0.901 0.01407 0.00044901
0.901 0.902 0.01493 0.000416665
0.902 0.903 0.01616 0.000331723
0.903 0.904 0.0192 0.000401746
0.904 0.905 0.02115 0.000407492
0.905 0.906 0.02329 0.000586421
0.906 0.907 0.02487 0.000607133
0.907 0.908 0.02573 0.000459141
0.908 0.909 0.02482 0.000441316
0.909 0.91 0.02053 0.000440011
0.910 0.911 0.01583 0.000412323
0.911 0.912 0.01037 0.000272782
0.912 0.913 0.00494 0.000252666
0.913 0.914 0.00217 0.000116662
0.914 0.915 0.00069 6.99285e-05
0.915 0.916 0.00012 4.19524e-05
0.916 0.917 4e-05 1.54919e-05
