#left_bin_val right_bin_val probability stderr
0.5 0.6 6e-07 3.2249e-07
0.6 0.7 1.33e-05 1.05877e-06
0.7 0.8 0.0002373 4.37733e-06
0.80 0.81 0.000823 1.41457e-05
0.81 0.82 0.001067 1.50366e-05
0.82 0.83 0.001444 2.50679e-05
0.83 0.84 0.001877 4.91131e-05
0.84 0.85 0.002578 3.92122e-05
0.85 0.86 0.003665 4.55686e-05
0.86 0.87 0.004916 5.08567e-05
0.87 0.88 0.007029 6.06869e-05
0.88 0.89 0.010433 0.000125188
0.89 0.9 0.017233 0.000101981
0.900 0.901 0.02557 0.000542411
0.901 0.902 0.02737 0.000475826
0.902 0.903 0.03053 0.000606473
0.903 0.904 0.03484 0.000532579
0.904 0.905 0.03847 0.000431984
0.905 0.906 0.04455 0.000764886
0.906 0.907 0.04817 0.000710641
0.907 0.908 0.04949 0.000754646
0.908 0.909 0.05007 0.000919353
0.909 0.91 0.04306 0.000657297
0.910 0.911 0.03234 0.000758578
0.911 0.912 0.02151 0.000440329
0.912 0.913 0.01111 0.000349414
0.913 0.914 0.00489 9.74166e-05
0.914 0.915 0.00171 0.000109041
0.915 0.916 0.00045 8.97218e-05
0.916 0.917 0.0001 3.16228e-05
