#length inter_contacts overlapping_chains
26683 68518 529
31305 78294 503
30535 75571 270
27305 67397 252
29519 74948 503
28615 72144 453
26859 66801 501
31211 80747 565
27429 70939 480
30767 76403 605
31619 78757 443
26615 68683 337
28701 72697 419
29235 70415 227
27935 70396 411
30305 77578 588
26172 65344 275
31986 79782 352
30281 77216 511
27923 69280 375
27246 70353 480
30978 78187 372
30607 75487 624
27029 67411 563
26720 68942 706
31266 80340 634
27829 69186 323
29779 74592 378
30130 75871 354
28076 70923 375
27920 70492 549
30318 77496 423
31575 79602 280
26029 65570 289
26339 65769 381
31867 81679 394
30735 78142 657
27497 69546 615
31549 78868 400
26489 66832 336
27714 70531 552
30398 77477 718
27931 70404 398
30155 75016 398
28498 71038 561
29296 74506 527
28930 72567 322
29188 74041 358
27939 70069 389
30187 76067 484
30608 77456 608
27240 68740 418
28261 69285 329
29657 75181 351
28427 71538 484
29301 73070 376
31391 80094 636
26679 66836 422
27115 67565 396
30579 76615 500
27655 68454 487
30451 77184 447
30185 76470 476
27907 71040 481
27865 68657 354
29935 71973 270
30629 76101 390
27007 67721 524
28935 72222 429
29085 72052 340
29313 72352 381
28337 70616 399
27156 68216 459
30518 75918 444
30455 77301 334
27747 69949 417
30978 78464 400
26764 67786 373
27553 69159 447
30361 76815 459
29860 77370 424
28008 69948 310
30269 73484 547
27455 68770 381
29972 75891 632
28244 71807 535
26842 67921 563
31166 80205 522
28717 70362 340
29207 74284 534
27728 68775 376
30498 78459 531
26560 67713 307
31176 80611 454
30682 76555 316
27142 66735 307
31176 80044 531
27002 69096 483
27414 68673 455
30372 75149 337
