#length inter_contacts overlapping_chains
3065233 7696680 7180
3038159 7551932 2429
3065251 7706536 3154
3061795 7663368 2274
3059233 7650372 6376
3063415 7675720 3641
3040069 7538332 2201
3065075 7701886 4288
3037913 7562630 4518
3050287 7618342 2659
3038927 7554528 2320
3054505 7623994 3070
3048617 7611578 3846
3057913 7638116 1863
3070843 7702270 3523
3057445 7662760 3509
3048405 7566726 4465
3060939 7655352 2670
3062917 7686410 5062
3055821 7631856 4162
3061051 7659376 4503
3069809 7716224 3464
3060699 7646706 3332
3069811 7694850 4693
3065077 7667404 4398
3054357 7669978 4762
3040445 7579698 4421
3047405 7595948 4729
3057881 7644384 5186
3063313 7664760 3220
3043085 7588194 4190
3064521 7687026 3458
3048137 7601170 2446
3061101 7647740 3364
3050805 7626968 4561
3059883 7655180 5187
3061669 7653882 3791
3053351 7638410 5185
3047361 7595204 3423
3039769 7576756 5283
3039107 7581948 4995
3062195 7665896 4193
3051951 7608222 5246
3057057 7649116 4369
3056183 7649652 3694
3062619 7678800 3540
3050949 7592698 6133
3058385 7647366 4679
3045195 7554322 2446
3065309 7679336 4150
3050991 7623412 2860
3048269 7591528 3277
3067571 7695244 2939
3051795 7623874 3671
3044991 7559296 3389
3069131 7684158 4385
3058327 7653456 5116
3045079 7572584 4356
3050491 7590454 3266
3068569 7690072 3136
3059885 7675222 3307
3054201 7630508 3822
3059971 7622974 2889
3066929 7689900 2783
3046373 7590474 3332
3043781 7564616 2462
3066489 7700832 4151
3057675 7665690 5183
3038299 7575966 5128
3057499 7647518 2472
3065485 7645076 3455
3066543 7671600 2185
3059453 7659868 5099
3058113 7628862 3033
3047003 7590148 4363
3068417 7699920 3778
3057845 7675422 3776
3064579 7690114 3741
3060161 7664938 4852
3056287 7661180 5242
3066479 7688692 5222
3060751 7656482 2963
3060391 7663344 4837
3058417 7653668 3645
3046821 7589764 4269
3064519 7689632 7808
3070219 7726350 6748
3050925 7602082 5364
3046523 7617094 5357
3060835 7655220 4820
3069613 7686260 4481
3059593 7637106 2914
3053069 7632204 3449
3059577 7646588 3551
3048403 7602842 3808
3039187 7549038 4498
3060531 7659122 5765
3050719 7614470 4274
3044415 7571420 5441
3042153 7552294 2819
