#length inter_contacts overlapping_chains
2684 6601 129
2909 7354 174
2996 7491 154
2698 6844 156
2793 6790 155
2828 7314 182
2966 7812 144
2948 7470 158
2882 7953 245
2562 6743 153
2706 6951 121
2952 7332 141
3115 7934 115
2777 6996 170
2620 6889 164
2721 6904 136
2924 7491 153
2668 6591 147
2888 7154 130
2880 7340 135
2847 7398 162
2753 7129 147
3000 8105 143
2585 6115 86
2905 6853 157
2681 7185 181
3037 7848 168
2717 7063 134
3031 7524 145
2728 7342 142
2758 7094 153
2792 6628 114
3041 7866 142
2692 7038 173
2827 7368 147
2647 6814 131
3020 7582 139
2783 7123 163
2801 7218 173
2815 7351 146
2778 7145 131
2699 6853 185
2874 6986 150
3081 8094 153
2740 6978 128
2753 7049 99
2885 7574 123
2956 7747 106
2599 6787 117
2905 7335 96
2881 7843 176
2802 6826 126
3030 7428 128
2811 6508 86
2606 6859 128
2720 6565 112
2853 7832 165
2858 7621 160
2849 7526 153
2810 6986 120
2655 7259 167
2824 7484 176
2733 7134 172
2835 6619 111
3087 8034 181
2539 6764 167
2710 6437 89
2795 7224 136
3048 8141 164
2997 7654 143
2768 6921 112
2765 7047 179
2643 6897 141
2979 7285 140
2917 7256 167
2723 6787 131
3097 7802 181
2656 6766 143
2563 6649 180
3055 7806 191
2612 6625 135
2937 7807 197
3014 7480 195
2674 7223 181
2920 7643 186
2604 7063 166
2624 7060 177
3011 8044 198
3005 7733 172
2922 6962 147
3037 7803 129
2676 6901 143
2801 7167 136
2682 7090 119
2921 7103 107
2812 7018 116
2665 6900 112
2744 6513 101
2974 7642 154
2951 7859 170
