#sequence_separation reesq stderr
10 14.8468 0.0129288
20 30.8685 0.0322145
40 63.4817 0.0851074
80 129.624 0.246017
160 263.338 0.701147
320 532.022 2.0472
640 1071.06 5.87491
1280 2139.36 16.2306
2560 4275.7 41.3017
5120 8572.46 114.778
10240 17187.9 323.329
20480 35379.5 918.378
40960 73118.7 2776.85
81920 138862 6689.42
