#sequence_separation reesq stderr
10 14.8501 0.0572155
20 30.8416 0.205987
40 63.5656 0.635583
80 130.889 1.93126
160 264.939 5.69574
320 531.588 16.1947
640 1118.5 45.5781
1280 2316.29 131.913
