#sequence_separation reesq stderr
10 14.8158 0.01937
20 30.8916 0.0663257
40 63.6468 0.195126
80 129.71 0.56014
160 263.183 1.60465
320 530.631 4.83679
640 1080.19 14.1106
1280 2188.46 42.3661
2560 4470.24 124.767
5120 9317.11 377.152
10240 18674.2 1058.31
