10 1000 0.00029 0.00002
20 8000 0.00243 0.00002
30 27000 0.01008 0.00002
40 64000 0.02610 0.00003
50 125000 0.0547 0.0001
60 216000 0.1255 0.0001
70 343000 0.2452 0.0001
80 512000 0.430 0.001
90 729000 0.682 0.002
100 1000000 1.006 0.001
150 3375000 3.918 0.001 
400 64000000 88.31 0.06
